Row,Year,Primary_Enrollment,GDP
0,2001,4317368.0,1941.47534195424
1,2002,4283046.0,2021.24003836472
2,2003,4200489.0,2145.64388854096
3,2004,4133386.0,2417.03436315532
4,2005,4077361.0,2729.49917213529
5,2006,4026316.0,3154.3313491397
6,2007,3993965.0,3606.07068932344
7,2008,3854764.0,4220.61637832028
8,2009,3787409.0,4196.31162707942
9,2010,3762681.0,5082.35370614454
10,2011,3671207.0,5869.32388186462
11,2012,3478689.0,6528.9717753128
12,2013,3545103.0,6756.75299620034
13,2014,3495614.0,6672.8773725884
14,2015,3513439.0,6229.10067398112
15,2016,3576943.0,6204.9964574796
16,2017,3544359.0,6710.50760214164
17,2018,3592865.0,6958.49726229132
18,2019,3715130.0,7023.07752627143
19,2020,3841744.0,6117.49357129272
